ID,cache,tag,lastAccess,period,hits,misses,errors,totalRequests,hitRatio,cacheEfficiency,avgHitLatency,minHitLatency,maxHitLatency,avgMissLatency,minMissLatency,maxMissLatency,avgReadThroughLatency,throughput,errorRate,nativeHits,nativeMisses,nativeSets,nativeDeletes,nativeErrors,totalNativeOperations,nativeThroughput,nativeErrorRate,timestamp
TagMetrics-3467044,caching,TagMetrics-3467044,2023-06-04T14:00:00.000Z,daily,34,84,26,75,46.51463709292157,96.8713010107261,39.80408912859224,87.96073285478543,92.8994071294767,54.76349568152542,30.451033265427917,84.0932965738587,2.7886232858373092,1.8044395864848632,13.297582809838953,79,83,59,97,6,80,3.4431008826528755,76.04863257851031,2022-08-26T14:00:00.000Z
TagMetrics-3467045,caching,TagMetrics-3467045,2006-04-06T14:00:00.000Z,current,58,30,10,71,88.23631876713345,92.0273126790605,58.269928232920556,24.04540506776715,74.58979180610817,38.360873566650504,18.846408177955066,29.52785554891034,77.50776602857063,45.83969408953519,41.14893037960103,21,48,38,16,29,28,97.48443552802134,83.6950629873791,2010-01-05T14:00:00.000Z
TagMetrics-3467046,caching,TagMetrics-3467046,2000-12-07T14:00:00.000Z,daily,95,31,42,40,8.361039102616312,40.43551127891576,0.4006410962484011,4.013793992441741,16.779619262243337,6.759258338449422,87.28764032949587,47.27070845490996,50.28869975967702,58.871623144974386,50.8316136685124,28,75,56,65,57,96,80.30112251008417,99.94288379765437,2021-11-15T14:00:00.000Z
TagMetrics-3467047,caching,TagMetrics-3467047,2021-08-26T14:00:00.000Z,hourly,16,90,36,69,58.25233924978597,81.11294109827512,70.48090589840524,49.843301011229634,77.51250551839004,6.361295400126865,27.71684172986721,45.04842902591966,31.96130033473512,12.39608526952717,73.4258159066342,88,32,75,78,76,77,10.019819627479878,51.816083751379836,2012-07-03T14:00:00.000Z
TagMetrics-3467048,caching-northwind,TagMetrics-3467048,2011-09-25T14:00:00.000Z,current,7,46,19,83,77.72844812990306,74.54255111442211,12.8317438313935,37.381835329353,41.563956740102114,48.72290261210719,28.766283105776978,46.16211472133374,18.166779184966366,9.88926021536292,3.7557152393668947,71,82,40,35,56,68,83.14892018308907,92.72138043651897,2012-09-14T14:00:00.000Z
TagMetrics-3467049,caching-northwind,TagMetrics-3467049,2007-02-25T14:00:00.000Z,hourly,51,14,33,54,74.03902910071926,6.490202599657372,37.90984470712282,28.659569055121963,93.00247372415514,41.16984896448127,94.56057942875111,43.17426292121508,38.547538971131665,64.28411422459995,39.08088263525201,86,91,33,100,52,63,91.08244849219395,17.745052709043286,2017-02-26T14:00:00.000Z
TagMetrics-3467050,caching-northwind,TagMetrics-3467050,2006-06-01T14:00:00.000Z,hourly,74,90,71,48,92.74717068822554,87.49076491840965,44.30401127004102,38.34152851756689,29.195634936170467,32.42979858867686,86.20894692312699,85.3989095774578,54.17288475562296,40.57778409150274,49.34248862616856,48,49,84,60,45,11,10.232105341801558,45.371894485487154,2000-09-24T14:00:00.000Z
TagMetrics-3467051,caching-northwind,TagMetrics-3467051,2004-11-21T14:00:00.000Z,daily,97,94,57,22,4.371121942352446,65.25964347707101,11.829508529382256,67.23467322633877,95.00648485572502,10.10037521905192,68.42736300702943,34.52832257433477,65.24149116812123,81.30856621558222,53.47930479426145,83,87,65,90,46,70,22.141772931735108,13.368904893356442,2008-08-18T14:00:00.000Z
TagMetrics-3467052,caching-northwind,TagMetrics-3467052,2014-06-05T14:00:00.000Z,current,92,64,25,75,3.496679776527705,25.8106352892719,25.01846386903751,77.0682869217901,64.45266508499044,23.290158238536193,97.12279294295631,89.34633182999822,99.49618845571057,55.691403446647634,35.52425743901636,85,46,24,93,19,46,16.807275727404686,68.38314035700128,2011-10-06T14:00:00.000Z
TagMetrics-3467053,caching-northwind,TagMetrics-3467053,2007-12-11T14:00:00.000Z,current,48,20,50,72,77.92500792747335,77.79503072360113,84.68110345897156,15.460288173569307,31.98983168579939,93.34073986142563,27.194972288775794,83.9517287053086,65.60936495494086,60.80284880473591,45.62814478996633,82,44,39,70,85,46,99.54998764459692,49.964752798155764,2007-02-20T14:00:00.000Z
